_id,transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name
7006,2024-04-08,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,INDIRIMLI1,Tam Kontur,SISLI,34
7007,2024-04-08,00,1,OTOYOL,KADIKOY-ESENSEHIR,Normal,4,4,INDIRIMLI1,Tam Kontur,BAKIRKOY,14ES
7008,2024-04-08,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,11,10,TAM,Tam Kontur,BAKIRKOY,34
7009,2024-04-08,00,1,OTOYOL,YUNUS EMRE MAHALLESI. - SISLI,Normal,2,2,INDIRIMLI1,Indirimli Abonman,KARTAL,49G
7010,2024-04-08,00,1,OTOYOL,YENIBOSNAMETRO-TAKSIM,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,73
7011,2024-04-08,00,1,OTOYOL,ADEM YAVUZ MAH-ZIVERBEY-KADIKOY,Normal,3,3,UCRETSIZ,Ucretsiz,BAKIRKOY,14B
7012,2024-04-08,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Normal,1,1,TAM,Tam Abonman,ATASEHIR,11ÃœS
7013,2024-04-08,00,1,OTOYOL,GUNESLI-MECIDIYEKOY,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,97M
7014,2024-04-08,00,1,OTOYOL,RUMELIHISARUSTU-TAKSIM,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,559C
7015,2024-04-08,00,1,OTOYOL,GIYIMKENT-TURGUT REIS-BAKIRKOY,Normal,2,2,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,98G
7016,2024-04-08,00,1,OTOYOL,ORTAKOY-DEREBOYU- TAKSIM,Aktarma,1,1,INDIRIMLI2,Indirimli Tip 2 Aktarma,BAKIRKOY,DT1
7017,2024-04-08,00,1,OTOYOL,GAZIOSMANPASA -TAKSIM,Aktarma,2,2,TAM,Tam Aktarma,BAKIRKOY,55T
7018,2024-04-08,00,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,2,2,INDIRIMLI1,Indirimli Kontur,KADIKOY,34A
7019,2024-04-08,00,1,OTOYOL,GUNESLI - BEYAZIT,Normal,14,14,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,97
7020,2024-04-08,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,INDIRIMLI1,Tam Kontur,ESENYURT,34
7021,2024-04-08,00,1,OTOYOL,DERESEKI /BEYKOZ - KADIKOY,Normal,15,15,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,15BK
7022,2024-04-08,00,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,1,1,INDIRIMLI1,Indirimli Kontur,SARIYER,M2
7023,2024-04-08,00,1,OTOYOL,HADIMKOY- I.U AVCILAR KAMPUS,Normal,5,5,UCRETSIZ,Ucretsiz,BAKIRKOY,418
7024,2024-04-08,00,1,OTOYOL,CEBECI-ALIBEYKOY METRO,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,50AC
7025,2024-04-08,00,1,OTOYOL,SULTANBEYLI-MECIDIYEKOY,Aktarma,2,2,INDIRIMLI1,Tam Aktarma,BAKIRKOY,522ST
7026,2024-04-08,00,2,RAYLI,KABATAS-MAHMUTBEY,Normal,1,1,UCRETSIZ,Ucretsiz,,M7
7027,2024-04-08,00,2,RAYLI,KIRAZLI-BASAKSEHIR/METROKENT,Aktarma,2,2,INDIRIMLI1,Tam Aktarma,GUNGOREN,M3
7028,2024-04-08,00,1,OTOYOL,KADIKOY-RASATHANE-ANADOLU HISARI,Normal,5,5,UCRETSIZ,Ucretsiz,BAKIRKOY,14R
7029,2024-04-08,00,2,RAYLI,YENIKAPI - HACIOSMAN,Aktarma,2,2,TAM,Tam Aktarma,SISLI,M2
7030,2024-04-08,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Kontur,ZEYTINBURNU,34
7031,2024-04-08,00,1,OTOYOL,KADIKOY-FINDIKLI MAHALLESI-YEDITEPE UNIVERSITESI,Normal,3,3,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,19F
7032,2024-04-08,00,1,OTOYOL,KADIKOY-KAYISDAGI,Normal,9,9,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,319
7033,2024-04-08,00,1,OTOYOL,GUNESLI-MECIDIYEKOY,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,97M
7034,2024-04-08,00,1,OTOYOL,S.GOKCEN HAVA ALANI-UYDUKENT-4.LEVENT METRO,Normal,4,2,TAM,Tam Kontur,BAKIRKOY,E-3
7035,2024-04-08,00,1,OTOYOL,BOGAZKOY-BAHCESEHIR-YENIKAPI,Normal,12,12,INDIRIMLI1,Indirimli Abonman,KUCUKCEKMECE,146T
7036,2024-04-08,00,1,OTOYOL,GUNESLI-MECIDIYEKOY,Normal,9,9,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,97M
7037,2024-04-08,00,1,OTOYOL,SULTANBEYLI-UMRANIYE,Normal,1,1,INDIRIMLI1,Tam Kontur,SARIYER,131
7038,2024-04-08,00,1,OTOYOL,BASAKSEHIR METROKENT-EMINONU,Normal,2,2,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,78
7039,2024-04-08,00,1,OTOYOL,HALKALI EGT.ARS.HAST - BAKIRKOY,Normal,2,2,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,98AB
7040,2024-04-08,00,1,OTOYOL,EYUPSULTAN-VEZNECILER,Normal,2,2,TAM,Tam Abonman,BAKIRKOY,86V
7041,2024-04-08,00,1,OTOYOL,YENIBOSNAMETRO-TAKSIM,Normal,2,2,TAM,Tam Kontur,BAKIRKOY,73
7042,2024-04-08,00,2,RAYLI,HALKALI - GEBZE,Normal,1,1,INDIRIMLI1,Indirimli Kontur,USKUDAR,MARMARAY
7043,2024-04-08,00,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,4,4,INDIRIMLI1,Indirimli Abonman,KADIKOY,34A
7044,2024-04-08,00,1,OTOYOL,BOGAZKOY-BAHCESEHIR-YENIKAPI,Normal,10,10,INDIRIMLI1,Indirimli Abonman,BEYKOZ,146T
7045,2024-04-08,00,1,OTOYOL,GAZIOSMANPASA -TAKSIM,Normal,3,3,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,55T
7046,2024-04-08,00,1,OTOYOL,SULTANBEYLI-MECIDIYEKOY,Normal,18,16,TAM,Tam Kontur,BAKIRKOY,522ST
7047,2024-04-08,00,1,OTOYOL,GULTEPE - SISLI,Normal,3,3,TAM,Tam Kontur,BAKIRKOY,65G
7048,2024-04-08,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Normal,5,4,INDIRIMLI1,Tam Kontur,BAKIRKOY,11ÃœS
7049,2024-04-08,00,1,OTOYOL,KAGITHANE - KABATAS,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,62
7050,2024-04-08,00,1,OTOYOL,USKUDAR-GUZELTEPE-UMRANIYE DEVLET HASTANESI,Aktarma,1,1,INDIRIMLI1,Tam Aktarma,BAKIRKOY,15B
7051,2024-04-08,00,1,OTOYOL,KADIKOY-YENIDOGAN,Normal,4,4,TAM,Tam Kontur,KARTAL,14
7052,2024-04-08,00,1,OTOYOL,SEYRANTEPE - TOPKAPI,Normal,2,2,TAM,Tam Kontur,BAKIRKOY,41ST
7053,2024-04-08,00,1,OTOYOL,KARTAL-VEYSELKARANI MAH,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,132P
7054,2024-04-08,00,2,RAYLI,KABATAS-BAGCILAR,Normal,2,2,UCRETSIZ,Ucretsiz,GUNGOREN,T1
7055,2024-04-08,00,1,OTOYOL,BEYKOZ-MECIDIYEKOY,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,121A
7056,2024-04-08,00,1,OTOYOL,HACI OSMAN METRO -  RUMELI FENERI,Normal,1,1,TAM,Tam Abonman,SARIYER,150
7057,2024-04-08,00,1,OTOYOL,GUNESLI-MECIDIYEKOY,Normal,2,2,TAM,Tam Abonman,BAKIRKOY,97M
7058,2024-04-08,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Abonman,BEYLIKDUZU,34
7059,2024-04-08,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,INDIRIMLI1,Indirimli Kontur,SISLI,34
7060,2024-04-08,00,2,RAYLI,YENIKAPI - HAVALIMANI,Normal,6,6,TAM,Tam Kontur,BAYRAMPASA,M1
7061,2024-04-08,00,1,OTOYOL,HALKALI ISTASYON - EMINONU,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,BN1
7062,2024-04-08,00,2,RAYLI,TOPKAPI-HABIBLER,Normal,2,1,TAM,Tam Kontur,ZEYTINBURNU,T4
7063,2024-04-08,00,1,OTOYOL,GAZIOSMANPASA -TAKSIM,Normal,2,2,TAM,Tam Abonman,BAKIRKOY,55T
7064,2024-04-08,00,1,OTOYOL,ORTAKOY-DEREBOYU- TAKSIM,Aktarma,2,2,INDIRIMLI1,Tam Aktarma,BAKIRKOY,DT1
7065,2024-04-08,00,1,OTOYOL,KADIKOY-SIFA MAHALLESI,Normal,5,4,INDIRIMLI1,Tam Kontur,BAKIRKOY,130Åž
7066,2024-04-08,00,1,OTOYOL,ALEMDAR-HALICIOGLU,Aktarma,1,1,INDIRIMLI1,Tam Aktarma,BAKIRKOY,522
7067,2024-04-08,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Normal,1,1,UCRETSIZ,Ucretsiz,ATASEHIR,11ÃœS
7068,2024-04-08,00,1,OTOYOL,CIRCIR METRO - EMINONU,Aktarma,1,1,INDIRIMLI2,Indirimli Tip 2 Aktarma,BAKIRKOY,50P
7069,2024-04-08,00,1,OTOYOL,SULTANBEYLI GOLET-HAREM USKUDAR,Aktarma,5,5,TAM,Tam Aktarma,PENDIK,18Ãœ
7070,2024-04-08,00,1,OTOYOL,MIMARSINAN â€“ I.U.AVCILAR KAMPUSU,Aktarma,3,3,TAM,Tam Aktarma,BAKIRKOY,448
7071,2024-04-08,00,1,OTOYOL,USKUDAR-YENI MAHALLE,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,15Y
7072,2024-04-08,00,1,OTOYOL,KADIKOY-ALEMDAG,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,14A
7073,2024-04-08,00,1,OTOYOL,KADIKOY-SARIGAZI-YENIDOGAN,Aktarma,2,2,INDIRIMLI2,Indirimli Tip 2 Aktarma,BAKIRKOY,19S
7074,2024-04-08,00,1,OTOYOL,ORTAKOY-DEREBOYU- TAKSIM,Aktarma,4,4,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,DT2
7075,2024-04-08,00,1,OTOYOL,YENIBOSNA (KUYUMCUKENT) - YENIKAPI,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,31
7076,2024-04-08,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Aktarma,4,4,TAM,Tam Aktarma,BAKIRKOY,11ÃœS
7077,2024-04-08,00,1,OTOYOL,KADIKOY-YENIDOGAN,Normal,12,12,INDIRIMLI1,Indirimli Abonman,KARTAL,14
7078,2024-04-08,00,1,OTOYOL,BAHCESEHIRI / ESENKENT - TAKSIM,Normal,8,8,TAM,Tam Abonman,BAKIRKOY,76D
7079,2024-04-08,00,1,OTOYOL,KADIKOY-YENIDOGAN,Normal,1,1,UCRETSIZ,Ucretsiz,KARTAL,14
7080,2024-04-08,00,1,OTOYOL,SULTANBEYLI(GOLET)- KADIKOY,Normal,5,5,TAM,Tam Kontur,BAKIRKOY,18K
7081,2024-04-08,00,1,OTOYOL,SULTANBEYLI-YAKACIK-KARTAL,Normal,1,1,TAM,Tam Kontur,BAKIRKOY,132C
7082,2024-04-08,00,1,OTOYOL,ISTINYE DEREICI-TAKSIM,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,40T
7083,2024-04-08,00,2,RAYLI,EMINONU-ALIBEYKOY,Normal,1,1,UCRETSIZ,Ucretsiz,FATIH,T5
7084,2024-04-08,00,1,OTOYOL,S.GOKCEN HAVA ALANI-UYDUKENT-4.LEVENT METRO,Normal,2,2,TAM,Tam Abonman,BAKIRKOY,E-3
7085,2024-04-08,00,1,OTOYOL,KADIKOY-TUZLA,Normal,1,1,INDIRIMLI1,Indirimli Abonman,KARTAL,130A
7086,2024-04-08,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Kontur,EYUPSULTAN,34
7087,2024-04-08,00,1,OTOYOL,SULTANBEYLI-MECIDIYEKOY,Normal,3,3,UCRETSIZ,Ucretsiz,BAKIRKOY,522ST
7088,2024-04-08,00,1,OTOYOL,KARTAL-VEYSELKARANI MAH,Aktarma,1,1,TAM,Tam Aktarma,BAKIRKOY,132P
7089,2024-04-08,00,2,RAYLI,KABATAS-MAHMUTBEY,Normal,1,1,INDIRIMLI1,Indirimli Abonman,BESIKTAS,M7
7090,2024-04-08,00,1,OTOYOL,HALKALI EGT.ARS.HAST - BAKIRKOY,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,98S
7091,2024-04-08,00,1,OTOYOL,ADEM YAVUZ MAH-ZIVERBEY-KADIKOY,Normal,11,11,TAM,Tam Kontur,BAKIRKOY,14B
7092,2024-04-08,00,1,OTOYOL,KADIKOY-SARIGAZI-YENIDOGAN,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,19S
7093,2024-04-08,00,1,OTOYOL,HADIMKOY- I.U AVCILAR KAMPUS,Normal,8,8,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,418
7094,2024-04-08,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,TAM,Tam Kontur,AVCILAR,34
7095,2024-04-08,00,1,OTOYOL,SULTANBEYLI-MECIDIYEKOY,Aktarma,2,2,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,522ST
7096,2024-04-08,00,1,OTOYOL,HADIMKOY- I.U AVCILAR KAMPUS,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,418
7097,2024-04-08,00,1,OTOYOL,KADIKOY-ESENSEHIR,Normal,22,22,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,14ES
7098,2024-04-08,00,1,OTOYOL,GAZIOSMANPASA -TAKSIM,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,55T
7099,2024-04-08,00,2,RAYLI,KADIKOY-KARTAL,Normal,3,3,TAM,Tam Kontur,KADIKOY,M4
7100,2024-04-08,00,1,OTOYOL,BOGAZKOY-BAHCESEHIR-YENIKAPI,Aktarma,1,1,INDIRIMLI1,Tam Aktarma,KUCUKCEKMECE,146T
7101,2024-04-08,00,1,OTOYOL,TOKATKOY - USKUDAR,Normal,4,4,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,15T
7102,2024-04-08,00,1,OTOYOL,KADIKOY-FINDIKLI MAHALLESI-YEDITEPE UNIVERSITESI,Normal,11,10,TAM,Tam Kontur,BAKIRKOY,19F
7103,2024-04-08,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Abonman,BESIKTAS,34
7104,2024-04-08,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Normal,1,1,INDIRIMLI1,Indirimli Kontur,ATASEHIR,11ÃœS
7105,2024-04-08,00,1,OTOYOL,BOGAZKOY MH.-BAHCESEHIR-BAKIRKOY,Normal,2,2,INDIRIMLI1,Tam Kontur,BAKIRKOY,146
7106,2024-04-08,00,1,OTOYOL,KADIKOY-CAKMAK MAH-ATASEHIR,Aktarma,2,2,INDIRIMLI2,Indirimli Tip 2 Aktarma,BAKIRKOY,13
7107,2024-04-08,00,2,RAYLI,KIRAZLI-BASAKSEHIR/METROKENT,Aktarma,1,1,UCRETSIZ,Tam Aktarma,GUNGOREN,M3
7108,2024-04-08,00,1,OTOYOL,CEBECI-ALIBEYKOY METRO,Normal,1,1,TAM,Tam Kontur,BAKIRKOY,50AC
7109,2024-04-08,00,1,OTOYOL,BASAKSEHIR METROKENT - BAKIRKOY,Normal,4,4,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,98H
7110,2024-04-08,00,1,OTOYOL,ORTAKOY-DEREBOYU- TAKSIM,Normal,2,2,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,DT2
7111,2024-04-08,00,1,OTOYOL,KADIKOY-ALEMDAG,Aktarma,2,2,TAM,Tam Aktarma,BAKIRKOY,14A
7112,2024-04-08,00,2,RAYLI,YENIKAPI - HAVALIMANI,Aktarma,1,1,INDIRIMLI1,Tam Aktarma,FATIH,M1
7113,2024-04-08,00,2,RAYLI,TOPKAPI-HABIBLER,Normal,1,1,TAM,Tam Kontur,ESENLER,T4
7114,2024-04-08,00,1,OTOYOL,SULTANBEYLI-UMRANIYE,Normal,6,6,INDIRIMLI1,Indirimli Kontur,SARIYER,131
7115,2024-04-08,00,1,OTOYOL,YENIDOGAN-TOPKAPI KALEICI,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,522B
7116,2024-04-08,00,1,OTOYOL,CEBECI - TAKSIM,Aktarma,1,1,TAM,Tam Aktarma,KARTAL,36T
7117,2024-04-08,00,1,OTOYOL,SULTANBEYLI(GOLET)- KADIKOY,Normal,2,2,TAM,Tam Abonman,BAKIRKOY,18K
7118,2024-04-08,00,1,OTOYOL,KADIKOY-RASATHANE-ANADOLU HISARI,Aktarma,1,1,INDIRIMLI1,Tam Aktarma,BAKIRKOY,14R
7119,2024-04-08,00,1,OTOYOL,KIRAC-AVCILAR METROBUS,Normal,2,2,UCRETSIZ,Ucretsiz,BAKIRKOY,429A
7120,2024-04-08,00,1,OTOYOL,ZEYTINBURNU-TAKSIM,Normal,7,7,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,93T
7121,2024-04-08,00,2,RAYLI,TAKSIM - KABATAS,Normal,1,1,INDIRIMLI1,Indirimli Abonman,BEYOGLU,F1
7122,2024-04-08,00,1,OTOYOL,KAYASEHIR-YENIBOSNA METRO,Aktarma,1,1,TAM,Tam Aktarma,PENDIK,79K
7123,2024-04-08,00,1,OTOYOL,KADIKOY-KAYISDAGI MAHALLESI,Normal,8,8,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,19
7124,2024-04-08,00,1,OTOYOL,KARTAL - KAYNARCA - VELIBABA MAH.,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,132V
7125,2024-04-08,00,1,OTOYOL,KADIKOY-USKUDAR,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,12A
7126,2024-04-08,00,1,OTOYOL,SULTAN CIFTLIGI - EMINONU,Aktarma,2,2,TAM,Tam Aktarma,BAKIRKOY,336E
7127,2024-04-08,00,3,DENÄ°Z,BESIKTAS-USKUDAR,Normal,2,2,INDIRIMLI1,Indirimli Abonman,BESIKTAS,BESIKTAS-USK
7128,2024-04-08,00,1,OTOYOL,AYAZAGAKOYU-DAVUTPASA-YTU KAMPUSU,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,41AT
7129,2024-04-08,00,2,RAYLI,USKUDAR-CEKMEKOY,Normal,2,2,INDIRIMLI1,Indirimli Abonman,UMRANIYE,M5
7130,2024-04-08,00,1,OTOYOL,SILIVRI-AVCILAR,Normal,1,1,INDIRIMLI2,Tam Kontur,BAKIRKOY,303A
7131,2024-04-08,00,1,OTOYOL,KADIKOY-PENDIK,Normal,1,1,INDIRIMLI1,Tam Kontur,KARTAL,17
7132,2024-04-08,00,1,OTOYOL,KADIKOY-SIFA MAHALLESI,Normal,6,6,UCRETSIZ,Ucretsiz,BAKIRKOY,130Åž
7133,2024-04-08,00,1,OTOYOL,ORTACESME-UMRANIYE,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,11H
7134,2024-04-08,00,1,OTOYOL,TUZLA DENIZ HARP OKULU-KARTAL METRO-CEVIZLI,Normal,2,2,INDIRIMLI1,Indirimli Abonman,SARIYER,KM12
7135,2024-04-08,00,1,OTOYOL,SULTANBEYLI-UMRANIYE,Normal,5,4,TAM,Tam Kontur,SARIYER,131
7136,2024-04-08,00,1,OTOYOL,SULTANBEYLI M.SINAN-SAMANDIRA-USKUDAR,Normal,3,3,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,320A
7137,2024-04-08,00,2,RAYLI,KADIKOY-KARTAL,Normal,2,2,INDIRIMLI1,Indirimli Abonman,KADIKOY,M4
7138,2024-04-08,00,1,OTOYOL,KADIKOY-KAYISDAGI,Normal,1,1,INDIRIMLI1,Tam Kontur,BAKIRKOY,319
7139,2024-04-08,00,1,OTOYOL,TASOLUK PERONLAR- TEKSTILKENT METRO,Normal,2,1,UCRETSIZ,Ucretsiz,EYUPSULTAN,336G
7140,2024-04-08,00,1,OTOYOL,CEBECI - TAKSIM,Normal,1,1,INDIRIMLI1,Indirimli Kontur,ATASEHIR,36T
7141,2024-04-08,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Normal,3,3,TAM,Tam Abonman,BAKIRKOY,11ÃœS
7142,2024-04-08,00,1,OTOYOL,ALEMDAR-HALICIOGLU,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,522
7143,2024-04-08,00,1,OTOYOL,YUNUS EMRE MAHALLESI. - SISLI,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,KARTAL,49G
7144,2024-04-08,00,1,OTOYOL,KAYASEHIR-YENIBOSNA METRO,Normal,6,6,INDIRIMLI1,Indirimli Abonman,PENDIK,79K
7145,2024-04-08,00,2,RAYLI,YENIKAPI - HAVALIMANI,Normal,1,1,TAM,Tam Kontur,GUNGOREN,M1
7146,2024-04-08,00,1,OTOYOL,KADIKOY-ALEMDAG,Normal,2,2,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,14A
7147,2024-04-08,00,1,OTOYOL,KADIKOY-CAKMAK MAH-ATASEHIR,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Abonman,BAKIRKOY,13
7148,2024-04-08,00,1,OTOYOL,SULTAN CIFTLIGI - EMINONU,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,336E
7149,2024-04-08,00,2,RAYLI,KABATAS-BAGCILAR,Normal,1,1,TAM,Tam Kontur,BAKIRKOY,T1
7150,2024-04-08,00,1,OTOYOL,KADIKOY-PENDIK,Normal,3,3,INDIRIMLI1,Indirimli Kontur,KARTAL,17
7151,2024-04-08,00,1,OTOYOL,BOGAZKOY MH.-BAHCESEHIR-BAKIRKOY,Normal,18,18,TAM,Tam Kontur,BAKIRKOY,146
7152,2024-04-08,00,1,OTOYOL,KADIKOY-SARIGAZI-YENIDOGAN,Normal,13,13,TAM,Tam Abonman,BAKIRKOY,19S
7153,2024-04-08,00,1,OTOYOL,KADIKOY-KAYISDAGI,Aktarma,5,5,TAM,Tam Aktarma,BAKIRKOY,319
7154,2024-04-08,00,1,OTOYOL,YUNUS EMRE MAHALLESI. - SISLI,Normal,1,1,TAM,Tam Kontur,KARTAL,49G
7155,2024-04-08,00,1,OTOYOL,KAGITHANE - KABATAS,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,62
7156,2024-04-08,00,1,OTOYOL,KADIKOY-SARIGAZI-YENIDOGAN,Aktarma,8,8,TAM,Tam Aktarma,BAKIRKOY,19S
7157,2024-04-08,00,1,OTOYOL,SULTANBEYLI-YAKACIK-KARTAL,Normal,1,1,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,132C
7158,2024-04-08,00,1,OTOYOL,YENIDOGAN-TOPKAPI KALEICI,Normal,1,1,TAM,Tam Kontur,BAKIRKOY,522B
7159,2024-04-08,00,1,OTOYOL,KARTAL - KAYNARCA - VELIBABA MAH.,Aktarma,3,3,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,132V
7160,2024-04-08,00,1,OTOYOL,KADIKOY-FINDIKLI MAHALLESI-YEDITEPE UNIVERSITESI,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,19F
7161,2024-04-08,00,1,OTOYOL,CATALCA-AVCILAR METROBUS,Normal,2,2,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,401
7162,2024-04-08,00,1,OTOYOL,GUNESLI - BEYAZIT,Normal,8,8,UCRETSIZ,Ucretsiz,BAKIRKOY,97
7163,2024-04-08,00,1,OTOYOL,SULTANBEYLI(GOLET)- KADIKOY,Normal,7,7,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,18K
7164,2024-04-08,00,2,RAYLI,YENIKAPI - HACIOSMAN,Normal,5,5,INDIRIMLI1,Indirimli Abonman,SISLI,M2
7165,2024-04-08,00,1,OTOYOL,CEBECI - TAKSIM,Normal,1,1,UCRETSIZ,Tam Kontur,ATASEHIR,36T
7166,2024-04-08,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,EYUPSULTAN,34
7167,2024-04-08,00,1,OTOYOL,ADEM YAVUZ MAH-ZIVERBEY-KADIKOY,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,14B
7168,2024-04-08,00,1,OTOYOL,USKUDAR-KIRAZLITEPE-FERAH MAH.,Normal,2,1,INDIRIMLI1,Tam Kontur,SANCAKTEPE,15C
7169,2024-04-08,00,1,OTOYOL,SULTANBEYLI-UMRANIYE,Aktarma,2,2,TAM,Tam Aktarma,BAKIRKOY,131
7170,2024-04-08,00,1,OTOYOL,TOPKAPI - GOKTURK,Normal,1,1,UCRETSIZ,Tam Kontur,KAGITHANE,48A
7171,2024-04-08,00,1,OTOYOL,TOPKAPI - GOKTURK,Normal,1,1,INDIRIMLI1,Indirimli Kontur,KAGITHANE,48A
7172,2024-04-08,00,1,OTOYOL,TASOLUK PERONLAR- TEKSTILKENT METRO,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,EYUPSULTAN,336G
7173,2024-04-08,00,1,OTOYOL,CEBECI-ALIBEYKOY METRO,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,50AC
7174,2024-04-08,00,1,OTOYOL,YENIBOSNA (KUYUMCUKENT) - YENIKAPI,Normal,4,4,TAM,Tam Kontur,BAKIRKOY,31
7175,2024-04-08,00,1,OTOYOL,KAYASEHIR-YENIBOSNA METRO,Normal,1,1,TAM,Tam Abonman,PENDIK,79K
7176,2024-04-08,00,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,1,1,INDIRIMLI1,Indirimli Abonman,USKUDAR,34A
7177,2024-04-08,00,1,OTOYOL,UMRANIYE DEV.HAST-CAKMAK MAH-ATASEHIR-USTBOSTANCI,Normal,1,1,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,10
7178,2024-04-08,00,1,OTOYOL,ALEMDAR-HALICIOGLU,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,522
7179,2024-04-08,00,1,OTOYOL,ALTUNIZADE-SULTANBEYLI,Normal,3,3,TAM,Tam Kontur,ATASEHIR,11ÃœS
7180,2024-04-08,00,1,OTOYOL,SULTAN CIFTLIGI - EMINONU,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,336E
7181,2024-04-08,00,1,OTOYOL,SILIVRI-AVCILAR,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,303A
